Brand,Material,Size,Compartments,Laptop Compartment,Waterproof,Style,Color,Weight Capacity (kg),Price
Jansport,Canvas,Small,5.0,No,Yes,Messenger,Green,10.771450681946645,76.76494556841146
Puma,Polyester,Medium,9.0,Yes,Yes,Backpack,Black,24.074108112731743,128.10332987728776
Jansport,Canvas,Medium,,No,Yes,Backpack,Pink,21.13308291729714,23.520986938880903
,Nylon,Medium,10.0,Yes,Yes,Messenger,Black,11.26616275950392,131.91195201057096
Adidas,Canvas,Large,10.0,No,No,Messenger,Green,7.392517927381494,84.13319469004887
Jansport,Nylon,Small,10.0,Yes,No,Backpack,,19.26011513377078,
Under Armour,Canvas,Small,10.0,No,No,Messenger,Red,6.638222348062263,150.0
Nike,Leather,Large,3.0,Yes,No,Tote,Gray,12.268742672553188,36.95505264436661
Jansport,Polyester,Large,7.0,Yes,No,Tote,Black,24.874156779500037,73.77006501575335
Under Armour,Leather,,8.0,Yes,Yes,Tote,Green,,23.216135421955837
Puma,Canvas,Large,5.0,No,No,Backpack,Pink,23.14257957317598,40.32146136119067
Puma,Leather,Large,1.0,Yes,,Messenger,Black,13.507779480168075,148.41959623825264
Under Armour,Canvas,Medium,3.0,Yes,No,Backpack,Blue,21.46509686180208,19.32328965328429
Jansport,Canvas,Small,4.0,,Yes,Backpack,Red,12.75918201537066,35.88684535105447
Puma,Nylon,Medium,7.0,Yes,Yes,Backpack,Black,23.670019713703358,59.35114406136752
Adidas,Polyester,Small,6.0,Yes,Yes,Tote,Blue,19.66168637730972,24.811481897377305
Under Armour,Polyester,Medium,8.0,Yes,No,Tote,Green,30.0,105.93595038292044
Under Armour,Polyester,Large,2.0,,No,,Black,12.482200702177984,127.36352651783648
Adidas,Polyester,Large,,Yes,Yes,Messenger,Blue,11.061876845122663,40.7076574639907
Nike,Leather,Small,1.0,Yes,Yes,Messenger,Blue,,27.69252144597468
Adidas,Leather,Large,4.0,Yes,Yes,Backpack,Pink,10.109854148303263,57.82279373459621
Under Armour,Polyester,Small,10.0,No,Yes,Backpack,Black,28.657239128267527,123.14815415153392
Puma,Canvas,Medium,9.0,No,Yes,Backpack,Gray,10.05457805753386,117.51740747787466
Puma,Canvas,Medium,4.0,No,No,Backpack,Gray,7.114124152454703,69.46153934333721
Puma,Leather,Small,10.0,No,No,Tote,Blue,26.77388961880917,26.346802429248527
Puma,Polyester,Small,2.0,Yes,Yes,Backpack,,29.59578793060795,74.93317346613641
Nike,Polyester,Small,6.0,Yes,Yes,Tote,Pink,23.801432000764574,52.83039911220003
Puma,Canvas,Large,7.0,No,Yes,Messenger,Pink,16.546437529254415,101.7600317161046
Puma,Nylon,Small,9.0,,Yes,Messenger,Blue,5.0,26.34830289364828
Jansport,Leather,Large,,Yes,Yes,Messenger,Green,5.33237163739957,128.10421232006016
,Canvas,Medium,5.0,No,No,Backpack,Pink,13.972125430314506,31.739038651498596
Puma,,Small,10.0,No,Yes,Messenger,,20.21447375436022,42.51146926450693
Puma,Polyester,Small,10.0,No,Yes,Backpack,,20.775856940022447,77.2038824152232
Under Armour,Leather,Small,1.0,No,No,Backpack,Black,27.01359410097793,123.4291910187424
Puma,Polyester,Small,6.0,No,Yes,Tote,Blue,,97.64603165939228
Puma,Leather,Medium,,No,,Backpack,,29.598328066670724,136.43281322050188
Jansport,Canvas,Medium,8.0,No,Yes,Backpack,Pink,20.46664793960485,49.68059310967936
Adidas,Canvas,Large,1.0,,Yes,Backpack,Red,19.922231751564908,52.75528710504816
Under Armour,Nylon,Medium,3.0,,Yes,,Blue,6.603203123094788,52.12847838697423
Jansport,Nylon,,8.0,No,Yes,Tote,Pink,24.27589389563043,94.63032017218292
Adidas,Leather,Medium,6.0,No,Yes,Messenger,Black,7.121398308169782,52.52941312491304
Adidas,Canvas,Large,2.0,No,No,Tote,Black,8.70954992761915,150.0
Under Armour,Polyester,Small,7.0,Yes,No,Tote,Black,24.122793327029715,
Puma,Canvas,Small,8.0,,Yes,Backpack,Red,8.986378298589027,91.84686570603516
Puma,Nylon,Small,5.0,Yes,No,Messenger,Black,8.702633424145638,36.50169440490916
Puma,Polyester,Small,1.0,No,Yes,Tote,Red,17.86042851160809,90.30339855354195
Adidas,Leather,Medium,10.0,No,Yes,Messenger,Pink,10.902617727730684,126.62240110133736
,Leather,Small,9.0,Yes,No,Backpack,Gray,25.739473396735285,17.920153134500282
Puma,Canvas,Small,2.0,No,No,Backpack,,22.35529593808637,88.43685327030478
Puma,Nylon,Large,3.0,No,Yes,Backpack,Green,18.73600836994595,92.93466331859504
Adidas,Polyester,Large,7.0,No,Yes,Backpack,Green,23.02487124535703,77.72208333261729
Adidas,Leather,Medium,1.0,No,Yes,Messenger,Pink,27.530820644558304,123.75973706477704
Puma,Polyester,Small,7.0,Yes,No,Messenger,Green,29.012034581210163,61.59370460214062
Nike,Polyester,Small,1.0,No,No,Backpack,Blue,,105.78799298421043
Nike,Canvas,Large,8.0,No,Yes,Backpack,Blue,20.046172664800675,125.96738976895288
Jansport,Leather,Small,2.0,No,Yes,Tote,Pink,5.460236412118861,116.86078078257415
Under Armour,Nylon,Small,4.0,Yes,Yes,Backpack,Red,24.469503950308425,126.49527997267045
Nike,Canvas,Medium,1.0,Yes,Yes,Backpack,,23.51932926736905,75.08160156255522
Nike,Canvas,Medium,4.0,Yes,Yes,Tote,Black,17.01218883373437,16.196862990439417
Under Armour,Nylon,Small,,No,Yes,Tote,Blue,24.23386690571665,47.223855315385286
Adidas,Polyester,Small,1.0,No,No,Backpack,Black,21.86279792141165,59.52016066109443
Under Armour,Canvas,Large,10.0,No,,Tote,Gray,10.497052164237328,133.1769291878325
Under Armour,Canvas,Medium,3.0,Yes,Yes,Backpack,Green,26.903552029006065,133.2339930841919
Under Armour,Nylon,Large,6.0,Yes,Yes,Messenger,Blue,9.32137767985273,118.78411012644123
Puma,Leather,Large,,No,Yes,Backpack,Pink,22.92698163096466,41.44358075641754
Jansport,Leather,Medium,9.0,No,Yes,Messenger,Black,24.41795071566192,98.87735151976096
Under Armour,Canvas,Large,7.0,No,No,Messenger,Black,7.321195621655919,15.0
Adidas,Nylon,Medium,10.0,No,Yes,Tote,Green,22.37062564647445,121.56002627431556
Puma,Leather,Large,1.0,No,No,Backpack,Red,,18.667059442825472
Under Armour,Polyester,Large,10.0,Yes,Yes,Messenger,Green,20.274686613875375,143.11863181526022
Adidas,Canvas,Large,3.0,Yes,Yes,Tote,Pink,14.00004111951672,51.32592742381122
Under Armour,Canvas,Small,2.0,Yes,Yes,Messenger,Gray,5.0,26.46576169102095
Jansport,Nylon,Small,,Yes,Yes,Backpack,Gray,20.703249539081025,55.81339604436846
Puma,Canvas,Small,6.0,No,No,Messenger,Green,11.817871039383665,101.03781096549432
Nike,Leather,Medium,2.0,Yes,No,Tote,Gray,10.568540915962092,50.65977908832871
Jansport,Leather,Large,3.0,Yes,No,Tote,Gray,10.153816019994714,133.67239539333212
Nike,Nylon,Medium,8.0,Yes,No,Tote,Green,,42.65338903510218
Nike,Nylon,Medium,6.0,Yes,Yes,Tote,Blue,16.75425372027306,149.9302294409507
Nike,Polyester,Medium,9.0,No,No,Messenger,Gray,16.948404216575174,15.0
Jansport,Canvas,Small,7.0,No,No,Messenger,Red,14.312077328100653,119.49433287055103
Under Armour,Canvas,Large,6.0,Yes,Yes,Backpack,Black,17.585330698962984,96.7830462079503
Under Armour,Leather,Small,8.0,Yes,No,Tote,Pink,5.0,122.48439494435742
Nike,Leather,Medium,4.0,No,No,Messenger,Black,16.743194974389894,69.89678676832763
Under Armour,Polyester,Small,1.0,No,No,Tote,,13.085274991723889,89.50385747886058
Nike,Nylon,Large,1.0,No,No,Backpack,Green,8.625217803739476,139.38155842147395
Nike,Polyester,Large,9.0,No,Yes,Backpack,Blue,10.973431622398248,16.46469723648266
Jansport,Nylon,Large,10.0,Yes,Yes,Tote,Green,18.45960989712511,135.7114972739845
Puma,Nylon,Large,9.0,No,Yes,Messenger,Gray,6.834712210178827,54.125537166837184
Jansport,Nylon,Small,,No,Yes,Tote,Gray,,119.7541778258834
Adidas,Canvas,Small,4.0,No,Yes,Backpack,Red,28.957396995824872,95.8818916900802
Puma,Leather,Medium,8.0,No,No,Tote,Green,22.639027463769143,65.64536360094729
Nike,Leather,Medium,9.0,Yes,No,Tote,Red,22.734148927180645,105.69786130768982
Jansport,Nylon,Small,3.0,No,No,Tote,,13.53203619537798,150.0
Puma,Nylon,Small,8.0,Yes,Yes,Messenger,Gray,8.513304567766642,16.36248328135762
Puma,Leather,Medium,,,No,Tote,Green,5.0,19.069000587098053
Nike,Nylon,Large,7.0,No,Yes,Backpack,Green,24.221093947782613,71.60968751986705
Jansport,Leather,Small,3.0,Yes,Yes,Backpack,Pink,14.44517725186124,130.98708174952182
Nike,Polyester,Large,2.0,No,Yes,Tote,,5.630184573322499,25.411993465000137
Puma,Nylon,Small,8.0,No,No,Backpack,Red,7.710256252993911,144.62811938952345
Nike,Canvas,Small,9.0,No,,Backpack,Gray,5.0,23.50550084113701
Under Armour,Nylon,Medium,8.0,No,No,Messenger,Pink,21.18683592206562,47.64176226265708
Adidas,Nylon,Small,6.0,No,Yes,Backpack,Green,27.96860565965084,18.471200211239115
Nike,Canvas,Large,3.0,,No,Backpack,Blue,26.553395568566525,112.89915376238302
Under Armour,,Small,7.0,Yes,No,Backpack,Red,30.0,102.85795225405924
,Polyester,Medium,10.0,Yes,No,Backpack,Red,17.560771939540622,70.2470147106209
Nike,Canvas,Medium,8.0,No,No,Tote,Gray,23.206187055140894,72.44546983157531
Nike,Polyester,Small,4.0,Yes,No,Backpack,Red,15.093085360092385,131.5023015992172
Jansport,Polyester,Small,6.0,No,No,Tote,Black,20.5104047600156,
Nike,Leather,Large,2.0,No,No,Messenger,Black,20.196550835883563,62.36063486112817
Adidas,Leather,Large,7.0,Yes,No,Backpack,Pink,16.72256066398363,117.97198189772462
Adidas,Leather,Large,2.0,No,Yes,Backpack,Gray,28.69535380891737,118.1809164818998
Under Armour,Leather,Medium,5.0,No,Yes,Tote,Black,30.0,40.03292658710302
Jansport,Nylon,Large,1.0,No,Yes,Backpack,Gray,10.598022648671009,50.1225258655381
Nike,,Small,5.0,Yes,Yes,Tote,Blue,29.77008971825129,129.9002607212948
Under Armour,Nylon,Large,4.0,No,Yes,Backpack,Red,10.592571897904286,110.99337330954268
Jansport,,Large,9.0,Yes,No,Tote,Gray,28.88076920147581,62.5536651823842
Puma,Polyester,Large,3.0,No,No,Backpack,Pink,8.630107620798105,114.4349659479713
Puma,Leather,Large,10.0,Yes,Yes,Tote,Gray,7.4725562718872,45.44736616661318
Jansport,Nylon,Large,,Yes,No,Tote,Blue,9.852887867283249,86.94620137504894
,Nylon,Large,1.0,,,Backpack,Black,18.989607811724277,51.38849634197771
Nike,Polyester,Large,6.0,Yes,Yes,Tote,Black,13.73951051282524,25.74274221805288
Nike,Leather,Large,10.0,Yes,Yes,Tote,Green,,134.67127710131285
Adidas,Canvas,Large,8.0,No,No,Messenger,Red,20.17361093806035,111.59337951553611
Under Armour,Canvas,Medium,9.0,No,No,Backpack,Red,6.107618045325546,58.93093720349657
Under Armour,Canvas,Medium,4.0,No,Yes,Tote,Gray,12.10860190083578,83.05297376391812
Adidas,Nylon,Medium,6.0,Yes,No,Tote,Gray,11.360286665734836,115.45748332104404
Jansport,Leather,Large,9.0,No,Yes,Messenger,Green,18.48348437829205,61.09454719514583
Jansport,Nylon,Large,7.0,No,No,Backpack,Pink,28.46159755370242,43.44649691504182
Nike,Nylon,Small,6.0,Yes,No,Messenger,Black,20.773625617413614,55.192771985849234
Under Armour,Polyester,Large,6.0,No,Yes,Tote,,26.164466056494508,70.80867750242348
Jansport,Canvas,Small,3.0,No,Yes,Backpack,Gray,29.720619637013296,127.63246860993355
Puma,Polyester,Medium,9.0,Yes,No,Messenger,Pink,6.298395505776194,47.9319716877653
Jansport,,Large,3.0,Yes,Yes,Tote,Black,5.243918375300576,76.40164324499898
Nike,Nylon,Small,10.0,No,No,Tote,Blue,23.905743648974724,36.56064097491252
Jansport,Leather,Medium,10.0,Yes,Yes,Messenger,Pink,6.944780450712377,111.72037760602446
Puma,Leather,Small,5.0,No,No,Tote,Blue,25.394456553306377,78.97904840099143
Puma,Nylon,Small,2.0,No,No,Backpack,Blue,17.39354731043469,15.356364256955857
Under Armour,Polyester,Large,8.0,No,Yes,Tote,Blue,10.140832740201052,54.85377883017741
,Canvas,Large,8.0,No,Yes,Tote,Red,11.254961172183345,80.332995651789
Adidas,Polyester,Small,5.0,Yes,No,Tote,Black,29.684240475316592,57.207995749612486
Puma,Polyester,Large,4.0,Yes,No,Backpack,Red,30.0,64.46919866138019
Under Armour,Polyester,Medium,6.0,No,Yes,Backpack,Green,18.182916206312267,148.05691795814326
Adidas,Nylon,Small,6.0,Yes,No,Messenger,Red,6.234822098338144,30.284126935941316
Puma,Canvas,Small,5.0,,No,Tote,Pink,23.16573403513929,64.43189830809143
Jansport,Canvas,Medium,9.0,Yes,Yes,Tote,Green,,91.28205412770409
Nike,Nylon,,4.0,Yes,No,Messenger,Pink,14.15386519020186,60.563393916309394
Under Armour,Polyester,Large,,Yes,Yes,Tote,Green,16.198637931164505,101.74098208277223
Jansport,Leather,Small,1.0,No,No,Tote,Blue,9.5243854055077,20.39178452026075
Under Armour,Polyester,Large,1.0,Yes,No,Messenger,Red,8.548940087408935,106.0570014314245
Under Armour,,Small,8.0,No,Yes,Messenger,,19.17913630136409,55.9174820430172
Puma,Canvas,Large,10.0,Yes,Yes,Backpack,Black,23.21806710075212,85.4619384380994
Nike,Polyester,Large,7.0,No,Yes,Tote,Black,23.06895393103533,70.93268358290143
Nike,Polyester,Small,2.0,No,No,Messenger,Black,24.616187469346247,69.08367196147371
Puma,Leather,Medium,4.0,Yes,Yes,,Green,19.631255485692208,76.22933667528591
Puma,Leather,Small,10.0,No,Yes,Tote,Gray,24.64569674956158,134.58456499442798
Under Armour,Nylon,,1.0,Yes,Yes,Messenger,Pink,12.987782308897026,138.07327502288177
Adidas,Polyester,Small,3.0,Yes,,Backpack,Red,18.512173411437534,77.31011107641646
Jansport,,Small,8.0,No,Yes,Backpack,Green,8.593859288527117,27.617213832116292
Jansport,Canvas,Large,7.0,Yes,No,Messenger,Green,13.407622128974618,41.58768659846726
Puma,Leather,Medium,6.0,No,No,Tote,Black,,80.85503069322587
Puma,Leather,Medium,6.0,Yes,No,Messenger,Red,24.957350407300822,92.32853281832784
Nike,Canvas,,3.0,Yes,Yes,Messenger,Green,27.79197127241692,36.729054612531215
Under Armour,Leather,Small,1.0,No,Yes,Tote,Pink,28.34489932599626,114.0914524475078
Adidas,Polyester,Medium,9.0,No,No,Messenger,Blue,28.812442259695416,88.7729840839223
Nike,Polyester,Medium,9.0,No,No,Backpack,Blue,18.271996977735263,35.82741791308629
Nike,Canvas,Medium,3.0,,Yes,Messenger,Gray,24.408823245196125,145.05249693587496
Puma,Canvas,Large,6.0,No,No,Tote,Blue,14.457059583545188,117.34668829657484
Nike,Nylon,Small,7.0,Yes,Yes,Messenger,Red,27.56176294803497,45.83021536049641
Under Armour,,Medium,1.0,No,No,Messenger,Pink,15.083701609219904,97.86405193767546
Nike,Canvas,Medium,10.0,Yes,Yes,Tote,Green,7.418701668607669,77.32007340729476
Puma,,Small,5.0,Yes,No,Backpack,Blue,6.243896465691945,131.01475171348065
Under Armour,Nylon,Small,4.0,No,Yes,Messenger,Pink,20.584865707772327,119.89770669716596
Under Armour,Polyester,Small,1.0,Yes,No,Backpack,Red,5.0,105.75544662323098
,Nylon,Medium,5.0,Yes,Yes,Messenger,Red,,91.82276207867724
Adidas,Leather,Small,,Yes,Yes,Tote,Gray,7.896360177860686,110.73161559808938
Adidas,Nylon,Medium,7.0,No,Yes,Tote,Gray,,115.66070969255394
,Polyester,Small,1.0,Yes,No,Tote,Green,12.003860330098831,127.02808961047724
Adidas,Polyester,Small,9.0,No,Yes,Messenger,Pink,6.065784798550537,90.79819053488548
Under Armour,Polyester,Large,4.0,Yes,No,Backpack,Green,11.039681673002672,34.59087679541815
Nike,Nylon,Medium,1.0,Yes,Yes,Messenger,Blue,8.494174188473036,80.69788970158625
,Polyester,Medium,1.0,No,Yes,Backpack,Black,18.07602325536792,82.7393538940363
Under Armour,Canvas,,8.0,Yes,Yes,Backpack,Green,21.28724301952624,30.84936054995256
Under Armour,Nylon,Small,10.0,No,,Messenger,Blue,13.115975761913464,150.0
Jansport,Leather,Medium,3.0,Yes,Yes,Tote,Green,11.567712421784655,76.19820377812566
,Canvas,Small,10.0,No,Yes,Tote,Red,29.35195336264648,109.0907132321073
Adidas,Polyester,Small,6.0,Yes,No,Tote,Red,25.037368937196668,59.27651809264188
Puma,Polyester,Medium,6.0,Yes,No,Backpack,Blue,28.58275903259309,43.55520913534066
Adidas,Polyester,,1.0,Yes,Yes,Backpack,Green,7.713068899132399,75.15735859303707
Puma,Canvas,Medium,9.0,No,Yes,Tote,Green,19.469613943321196,101.56581101010012
Adidas,Canvas,Medium,3.0,No,Yes,Backpack,Pink,15.619625157821089,73.46932497788731
Puma,Canvas,Small,4.0,No,Yes,Tote,Pink,18.20434657859051,41.89647811528664
Puma,Leather,Medium,4.0,No,Yes,Backpack,Pink,15.742387593769156,44.47782257929364
Nike,Nylon,Small,8.0,No,No,Backpack,Green,22.80677182840496,99.79544989940028
Under Armour,Nylon,Large,7.0,No,Yes,Messenger,Green,9.57064982120898,75.4715866701085
Under Armour,Leather,Large,8.0,No,No,Tote,Blue,21.592050597597204,85.83952037771006
Adidas,Nylon,Small,1.0,No,No,,Gray,7.914105729090291,89.74416353754701
Adidas,Polyester,Medium,9.0,Yes,No,Tote,Red,29.71615431865433,19.081858051651885
,Leather,,10.0,No,Yes,Messenger,Pink,27.68225427116217,51.00608967676813
Nike,Canvas,Medium,10.0,No,No,Messenger,Red,16.187099468721712,138.62157691440444
Adidas,Leather,Large,,No,Yes,Backpack,Gray,24.430123253199863,54.06913729798563
Under Armour,Polyester,Medium,1.0,No,No,Backpack,Black,22.293534367969546,138.28689276614202
Adidas,Polyester,Medium,,Yes,No,Tote,Black,8.0740315594377,43.84112454209112
Jansport,Leather,Medium,,No,,Tote,Blue,29.37490916947669,70.86630839788124
Under Armour,Leather,Small,5.0,Yes,Yes,Tote,Pink,15.765421976158564,17.926237927997104
Nike,Leather,Medium,9.0,Yes,No,Tote,Black,27.410793121057115,109.13186054650558
Puma,Canvas,Medium,10.0,No,Yes,Backpack,Gray,9.008408634533234,128.07315817973662
Nike,Nylon,Small,4.0,Yes,No,Messenger,Pink,19.79733265666969,69.12399376176063
Puma,Leather,Small,2.0,Yes,Yes,Backpack,Pink,19.66606238387305,128.7083820503225
Adidas,Canvas,Small,1.0,No,No,Tote,Red,30.0,79.84558431606101
Jansport,Polyester,,10.0,Yes,No,Messenger,Green,9.596774818997629,48.29743422532335
Adidas,Canvas,Small,1.0,No,No,Messenger,Pink,13.75219447292769,110.37303095644648
Under Armour,Nylon,,1.0,Yes,Yes,Tote,Green,7.0861796637816585,45.27504182506196
Under Armour,Canvas,Medium,3.0,No,Yes,Messenger,Red,,141.822468679971
Adidas,Nylon,Large,10.0,No,Yes,Tote,Gray,15.0159127725673,142.34483157249804
Puma,Canvas,Small,3.0,No,No,Tote,Red,29.29836201585672,127.96820353744508
Puma,,Medium,4.0,Yes,Yes,Backpack,Blue,30.0,99.48514065514988
Puma,Polyester,Medium,,No,No,Backpack,Red,16.960317025785788,114.43854731172532
Jansport,Polyester,Small,8.0,Yes,Yes,Backpack,Blue,11.028953833183056,53.70657394149812
,,Medium,,No,Yes,Tote,Pink,30.0,125.84757453146848
Under Armour,Leather,Medium,8.0,,No,Messenger,Pink,5.0,124.08107101017887
Puma,Leather,Large,4.0,Yes,No,Messenger,Black,16.81250168208202,
Jansport,Leather,Large,8.0,No,Yes,Tote,Gray,8.471751297911357,103.1012595470106
Adidas,Polyester,Large,5.0,No,No,Tote,Gray,12.56870582788941,108.7119858437576
Puma,,Medium,1.0,Yes,Yes,Tote,Red,28.30682386789908,83.10487203733118
Puma,Canvas,Small,8.0,Yes,No,Messenger,Blue,12.664160071738523,39.80249759906879
Nike,Nylon,,4.0,No,No,Messenger,Black,16.746551581176693,130.83922249990087
Under Armour,Polyester,,8.0,No,Yes,Messenger,Gray,24.344095058268586,22.55652006487089
,Polyester,Small,4.0,No,No,Messenger,Black,26.9873356155855,124.53842851856652
Under Armour,Canvas,Large,8.0,No,Yes,Messenger,Gray,12.038975839066216,90.80942427106736
Nike,Polyester,Small,7.0,No,,Backpack,Pink,5.0,
Under Armour,Leather,Medium,10.0,,Yes,Backpack,Red,26.59544609491716,72.23854907231255
Jansport,Nylon,Large,7.0,Yes,Yes,Messenger,Blue,21.814391879444784,61.42803015282448
Under Armour,Nylon,Large,9.0,Yes,Yes,Messenger,Gray,13.833063982198013,126.80670348560388
Adidas,Leather,Medium,3.0,No,Yes,Messenger,Pink,24.387831703371145,145.65750125429207
Nike,Canvas,Medium,6.0,Yes,No,Messenger,Green,24.54719003782879,18.81216919270388
Under Armour,Nylon,Small,8.0,Yes,Yes,Tote,Green,16.18791014083806,
Adidas,Nylon,Medium,5.0,Yes,Yes,Backpack,Pink,14.931349316863528,71.65068647182561
Jansport,Canvas,Medium,7.0,No,No,Backpack,Green,19.207514780421267,117.52670380045645
Adidas,Canvas,Large,10.0,No,Yes,Tote,Black,7.011642101470308,27.37297021268576
Nike,Leather,Small,9.0,No,No,,Black,14.830288786816274,24.57828951568522
Under Armour,Leather,Small,4.0,Yes,Yes,,Black,20.49443318765897,104.3864823258616
Nike,Canvas,Small,4.0,Yes,No,Tote,Red,26.512632289903607,106.869352614806
Nike,Canvas,Small,1.0,Yes,,Tote,Gray,9.668755683585266,143.46859129574898
Puma,Nylon,Medium,5.0,Yes,No,Messenger,Gray,9.40514363297112,108.51532783348593
Puma,Polyester,Medium,1.0,Yes,No,Messenger,Blue,9.696465698916535,66.35470231775699
Under Armour,Leather,Medium,6.0,No,,Messenger,Black,21.52037217483313,93.12722506340042
Adidas,Polyester,Small,6.0,Yes,No,Messenger,Pink,27.342675078251634,84.88725040122142
Puma,Nylon,Medium,8.0,No,Yes,Backpack,Blue,8.217283395719546,62.62515481274609
Jansport,Nylon,,2.0,Yes,No,Messenger,Blue,22.349174956714094,97.37867609848097
Puma,,Small,3.0,No,No,Tote,Pink,27.75650445355684,133.76070732746828
Adidas,Leather,Small,9.0,Yes,No,Tote,Blue,11.092408569738296,60.19775649185021
Under Armour,Nylon,Medium,3.0,No,No,Messenger,Gray,28.237771743015173,142.98834756244216
Under Armour,Leather,Medium,9.0,No,Yes,Tote,Blue,16.444483476327054,97.7293839085576
,,Medium,7.0,No,No,Tote,Green,23.61635082848084,70.91218261842525
Under Armour,Polyester,Large,10.0,No,No,Messenger,Black,15.401678298583084,93.0734931519558
Under Armour,Nylon,Large,2.0,No,Yes,Tote,Black,,76.79517558012061
Adidas,Canvas,Small,9.0,Yes,No,Backpack,Green,23.848657577259917,136.1902306090081
Adidas,Nylon,Medium,2.0,Yes,Yes,Backpack,Gray,14.368103223826568,35.577421753736786
Adidas,Canvas,Small,8.0,Yes,No,Backpack,Pink,25.41833606806258,119.06692268242632
Under Armour,Polyester,Small,6.0,Yes,No,Tote,Pink,24.48211069695634,22.250428592756982
,Nylon,Small,8.0,No,No,Messenger,Red,12.809719347159412,
Jansport,Nylon,Large,6.0,Yes,No,Backpack,,28.604186729728493,42.613919683310016
Nike,Leather,Medium,1.0,Yes,Yes,Tote,Black,16.609552077805173,59.80007995091986
Jansport,Polyester,Large,,No,No,Backpack,Red,12.645454888828576,108.129184263524
Under Armour,Leather,Small,3.0,Yes,No,Backpack,Black,25.67644087441618,107.93290587538492
Jansport,Polyester,Medium,8.0,No,No,Messenger,Red,26.41239176387083,35.4556868264007
Jansport,Canvas,Medium,4.0,Yes,No,Messenger,Black,18.5397529050424,91.9704997642359
Under Armour,Nylon,Small,10.0,No,No,Tote,Red,18.846162209001378,114.77207676460134
Adidas,Canvas,Small,3.0,No,Yes,Messenger,Green,18.62283813870861,25.0459975884752
Under Armour,Polyester,Medium,8.0,Yes,,Messenger,Green,27.206210021226248,33.23161939321971
Nike,Canvas,Small,10.0,Yes,Yes,Backpack,Pink,13.747914753701126,50.07254149563597
Nike,Nylon,Medium,3.0,No,Yes,Backpack,Black,16.40939861589426,148.32348653516357
Puma,Nylon,Medium,7.0,Yes,Yes,Backpack,Gray,10.800342861877883,32.78408405739229
Nike,Nylon,,9.0,No,Yes,Backpack,Gray,16.820180685933742,75.03009751083498
Jansport,Leather,Large,4.0,Yes,Yes,Tote,Pink,5.0,70.07355384545167
Adidas,Polyester,Small,7.0,No,No,Backpack,Black,,52.62148811461143
Nike,Nylon,Small,9.0,No,,Tote,Gray,18.133815822216725,84.86083758456354
Nike,Leather,Medium,7.0,No,No,Messenger,Green,,122.55403404957563
Adidas,Polyester,Large,4.0,Yes,Yes,Backpack,Blue,23.71171415596539,138.28138459463696
Adidas,Leather,Small,,No,Yes,Backpack,Gray,23.35802346444474,72.08247217111754
Nike,Canvas,Medium,2.0,No,Yes,Tote,Pink,9.49075880805983,54.85862985359508
Under Armour,Nylon,Small,10.0,Yes,Yes,Backpack,Black,16.481393358939965,34.40712725535587
Jansport,Canvas,Small,7.0,Yes,Yes,Tote,Pink,,64.47186675300259
Adidas,Canvas,Large,6.0,Yes,Yes,Messenger,Red,19.66162418157549,44.50663945295849
Adidas,Canvas,Small,6.0,No,Yes,Messenger,Blue,14.89578646837459,17.98823267323485
Under Armour,Leather,Medium,9.0,Yes,Yes,Tote,Pink,23.66226113800485,141.37716813369235
Jansport,Nylon,Medium,7.0,No,Yes,Backpack,Red,19.141118637411168,150.0
Jansport,Leather,Small,8.0,No,No,Tote,Blue,12.55914329892418,123.03354013341055
Nike,Polyester,Small,9.0,Yes,Yes,Tote,Blue,14.234435887026017,28.91660186510293
Jansport,Nylon,Small,1.0,No,No,Tote,Red,12.866396373820276,119.37057384068892
Puma,,Medium,4.0,No,Yes,Tote,Red,23.522783593361517,150.0
Adidas,Leather,,10.0,Yes,Yes,Backpack,Red,26.485960977475017,24.607411105899757
,Polyester,Small,5.0,No,Yes,Backpack,Green,19.29608960873692,112.74370058270463
Nike,Leather,Medium,7.0,No,Yes,Tote,Green,19.94253144172218,34.48704850681808
Jansport,Nylon,Small,2.0,No,No,Backpack,Blue,12.99349175191477,129.06091754651789
Jansport,Nylon,Medium,4.0,Yes,,Messenger,Gray,26.051971958568277,72.43209269643715
Nike,Leather,Medium,4.0,Yes,Yes,Tote,Pink,23.010190240240263,100.2948939808242
Jansport,Canvas,Large,8.0,Yes,No,Messenger,Red,24.789063754595677,50.02138445085613
Under Armour,Polyester,Large,4.0,No,No,Tote,Blue,14.965957893861765,
Puma,Polyester,Small,6.0,No,Yes,Backpack,Blue,9.25333468882816,88.36162913668812
Adidas,Nylon,Large,9.0,Yes,,Tote,Green,12.64932170200434,26.412446179530143
Puma,Canvas,Medium,7.0,No,Yes,,Black,,81.57088412915775
,Canvas,Small,4.0,Yes,No,,Gray,10.552216428547831,77.39006542120151
Puma,Polyester,Medium,,Yes,Yes,Messenger,,7.163808850480504,93.03969329312038
Puma,Polyester,Medium,5.0,No,Yes,Tote,Gray,26.4122729796099,
Nike,Polyester,Large,5.0,Yes,,Messenger,Green,6.57368843542694,92.79051700554726
Puma,Nylon,Medium,6.0,No,No,Tote,Red,28.56695030812043,46.60464527919837
Puma,Nylon,Large,1.0,No,No,Tote,,6.254996480104924,127.93907980857924
Nike,Canvas,Small,5.0,No,Yes,,Blue,23.870684146169204,
Nike,,Large,2.0,No,No,,Gray,15.588549993432988,104.89970171585628
